I,Q
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-1,-4.16503707837418e-15
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
-0.70710678118655,0.707106781186545
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
1,4.04257239845944e-15
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
0.707106781186544,0.707106781186551
