I,Q
-0.700345974833475,-0.696151547734697
-0.67285291335685,-0.734417838232477
-0.712950601484292,-0.72857546635975
-0.662171257957657,-0.751883300422797
-0.657303604635456,-0.769583613727518
-0.665891358123977,-0.761447377614381
-0.6428761207856,-0.778196737626728
-0.620934381755175,-0.777176127635646
-0.567911094286114,-0.799209182534947
-0.565596398298093,-0.797541864910744
-0.604759181940925,-0.800675613998604
-0.53684310981233,-0.833442464082912
-0.552961902627326,-0.823053153403339
-0.549815691052662,-0.821340518067619
-0.526839378770001,-0.834445767313183
-0.525075876452514,-0.8429164616599
-0.510602448285905,-0.897636744191459
-0.476726712710926,-0.883204955584536
-0.464036003391202,-0.872032953107341
-0.450109563091179,-0.893123375303589
-0.300573364937597,0.948393268846844
-0.339100762423041,0.961817541421493
-0.329719121672876,0.926297970526923
-0.332975720270812,0.936998203187714
-0.36197703898114,0.928691739468431
-0.36967285656379,0.922866297252003
-0.388007793972225,0.912533063607162
-0.415329926232707,0.905343129026771
-0.4220840534975,0.906679633363477
-0.449838727016521,0.901907093306246
-0.442819516077983,0.878942588116224
-0.482353457247503,0.895748042835861
-0.495194008562725,0.85869833682966
-0.505637575628953,0.859532899722729
-0.546063829068155,0.873834087480219
-0.504411890068121,0.843935048708694
-0.531737740425708,0.847987930565922
-0.558515539053515,0.855123423794976
-0.544852785922516,0.837165439733283
-0.596526431648457,0.855173174380796
0.986402709898733,-0.149445708898674
0.986987621900406,-0.154584971665545
0.996128513562546,-0.128326974716889
0.997894944036936,-0.108177067633169
0.984686675396028,-0.0972009826952807
0.996539458688703,-0.0842131622624459
0.995953484522204,-0.0476795563388704
1.00678287623591,-0.0507598499445611
1.01325364836348,-0.0229872224103673
1.01382500575241,0.00416653094614426
0.989140140699914,-0.00393265529755476
1.00084937155443,0.024085124219742
0.984239846783833,0.0187959968220079
0.984888344398748,0.0237942892267806
0.997940602686991,0.068259448836211
1.01618913958295,0.0857411041063919
0.985883928106667,0.105998558487233
0.998630796797584,0.090788735219311
0.989278127628169,0.152338711707638
1.00407366733463,0.131671681540545
-0.6014795108092,-0.821344981830205
-0.574595863605011,-0.823635575506961
-0.555135718380634,-0.827486027466088
-0.535183377187991,-0.83672153031535
-0.516409358379789,-0.83699505605261
-0.521418037920895,-0.825003919311257
-0.52779717095024,-0.855704422258589
-0.504792619883263,-0.84937098881743
-0.495102357699888,-0.859527449679006
